image,width,height,quality,chroma_subsampling,progressive_level,jpeg_bytes,bits_per_pixel,jpegli_version,turbojpeg_api,decoder,ssimulacra2,butteraugli,decoded_image,cvvdp_jod,dists
02809272b4ca9b08af45771501b741296187c7e26907efb44abbbfcb6cd804f7.png,1360,2048,25,444,0,311773,0.895487707,51760c09,3002000,apple_imageio,57.209964523,5.011048317,q025-444-p0/apple_imageio/02809272b4ca9b08af45771501b741296187c7e26907efb44abbbfcb6cd804f7.png,9.691459656,0.075389028
02809272b4ca9b08af45771501b741296187c7e26907efb44abbbfcb6cd804f7.png,1360,2048,25,444,0,311773,0.895487707,51760c09,3002000,jpegli,56.927150745,4.716772556,q025-444-p0/jpegli/02809272b4ca9b08af45771501b741296187c7e26907efb44abbbfcb6cd804f7.png,9.675882339,0.077455342
02809272b4ca9b08af45771501b741296187c7e26907efb44abbbfcb6cd804f7.png,1360,2048,25,444,0,311773,0.895487707,51760c09,3002000,turbojpeg,57.149162792,5.013449192,q025-444-p0/turbojpeg/02809272b4ca9b08af45771501b741296187c7e26907efb44abbbfcb6cd804f7.png,9.691352844,0.075432301
0369d229ba4c9965d5caeb38c359a027a810968eee930b81520b604e76b4df14.png,1360,2048,25,444,0,114981,0.330253332,51760c09,3002000,apple_imageio,50.874305153,4.912515163,q025-444-p0/apple_imageio/0369d229ba4c9965d5caeb38c359a027a810968eee930b81520b604e76b4df14.png,9.716419220,0.128123224
0369d229ba4c9965d5caeb38c359a027a810968eee930b81520b604e76b4df14.png,1360,2048,25,444,0,114981,0.330253332,51760c09,3002000,jpegli,49.664110069,5.081811905,q025-444-p0/jpegli/0369d229ba4c9965d5caeb38c359a027a810968eee930b81520b604e76b4df14.png,9.684804916,0.138477921
0369d229ba4c9965d5caeb38c359a027a810968eee930b81520b604e76b4df14.png,1360,2048,25,444,0,114981,0.330253332,51760c09,3002000,turbojpeg,51.058676672,4.945229530,q025-444-p0/turbojpeg/0369d229ba4c9965d5caeb38c359a027a810968eee930b81520b604e76b4df14.png,9.716126442,0.128139079
07b9f93f170a0381836bdf301280a5b80b2c4be6e66f793a3c335dc200fb4e5b.png,2048,1360,25,444,0,185376,0.532444853,51760c09,3002000,apple_imageio,44.204464446,5.479959488,q025-444-p0/apple_imageio/07b9f93f170a0381836bdf301280a5b80b2c4be6e66f793a3c335dc200fb4e5b.png,9.514944077,0.129081845
07b9f93f170a0381836bdf301280a5b80b2c4be6e66f793a3c335dc200fb4e5b.png,2048,1360,25,444,0,185376,0.532444853,51760c09,3002000,jpegli,41.817557296,5.729315281,q025-444-p0/jpegli/07b9f93f170a0381836bdf301280a5b80b2c4be6e66f793a3c335dc200fb4e5b.png,9.446462631,0.139051676
07b9f93f170a0381836bdf301280a5b80b2c4be6e66f793a3c335dc200fb4e5b.png,2048,1360,25,444,0,185376,0.532444853,51760c09,3002000,turbojpeg,44.188144276,5.473501682,q025-444-p0/turbojpeg/07b9f93f170a0381836bdf301280a5b80b2c4be6e66f793a3c335dc200fb4e5b.png,9.514401436,0.129004955
0d154749c7771f58e89ad343653ec4e20d6f037da829f47f5598e5d0a4ab61f0.png,1360,2048,25,444,0,184214,0.529107307,51760c09,3002000,apple_imageio,52.425376170,4.443806171,q025-444-p0/apple_imageio/0d154749c7771f58e89ad343653ec4e20d6f037da829f47f5598e5d0a4ab61f0.png,9.533220291,0.226952434
0d154749c7771f58e89ad343653ec4e20d6f037da829f47f5598e5d0a4ab61f0.png,1360,2048,25,444,0,184214,0.529107307,51760c09,3002000,jpegli,51.691666657,4.327522278,q025-444-p0/jpegli/0d154749c7771f58e89ad343653ec4e20d6f037da829f47f5598e5d0a4ab61f0.png,9.494976044,0.232448459
0d154749c7771f58e89ad343653ec4e20d6f037da829f47f5598e5d0a4ab61f0.png,1360,2048,25,444,0,184214,0.529107307,51760c09,3002000,turbojpeg,51.890028818,4.427761555,q025-444-p0/turbojpeg/0d154749c7771f58e89ad343653ec4e20d6f037da829f47f5598e5d0a4ab61f0.png,9.532751083,0.227580011
1b4ad095795ac552b38a21d51be7bfaee8e7d0a70619d84767814321df4ed062.png,2048,1216,25,444,0,134527,0.432151393,51760c09,3002000,apple_imageio,47.617595529,4.899944305,q025-444-p0/apple_imageio/1b4ad095795ac552b38a21d51be7bfaee8e7d0a70619d84767814321df4ed062.png,9.541163445,0.167469561
1b4ad095795ac552b38a21d51be7bfaee8e7d0a70619d84767814321df4ed062.png,2048,1216,25,444,0,134527,0.432151393,51760c09,3002000,jpegli,46.615146440,4.925132751,q025-444-p0/jpegli/1b4ad095795ac552b38a21d51be7bfaee8e7d0a70619d84767814321df4ed062.png,9.466867447,0.180702329
1b4ad095795ac552b38a21d51be7bfaee8e7d0a70619d84767814321df4ed062.png,2048,1216,25,444,0,134527,0.432151393,51760c09,3002000,turbojpeg,47.620718902,4.890498638,q025-444-p0/turbojpeg/1b4ad095795ac552b38a21d51be7bfaee8e7d0a70619d84767814321df4ed062.png,9.541017532,0.167687178
1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,1648,2048,25,444,0,96774,0.229383154,51760c09,3002000,apple_imageio,53.756057084,4.380698681,q025-444-p0/apple_imageio/1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,9.736728668,0.167926252
1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,1648,2048,25,444,0,96774,0.229383154,51760c09,3002000,jpegli,53.809878429,4.429058552,q025-444-p0/jpegli/1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,9.722960472,0.178586960
1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,1648,2048,25,444,0,96774,0.229383154,51760c09,3002000,turbojpeg,53.713832367,4.394032955,q025-444-p0/turbojpeg/1cba10ad9bb4ced57e42f7656c5f2a58d32dc6bad084957d2f8d1c78e0fcd224.png,9.735238075,0.167910814
2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,1360,2048,25,444,0,173893,0.499462891,51760c09,3002000,apple_imageio,52.077760239,5.162856102,q025-444-p0/apple_imageio/2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,9.714839935,0.095151722
2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,1360,2048,25,444,0,173893,0.499462891,51760c09,3002000,jpegli,51.343555196,4.692677975,q025-444-p0/jpegli/2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,9.682258606,0.100529313
2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,1360,2048,25,444,0,173893,0.499462891,51760c09,3002000,turbojpeg,52.080903986,5.162856102,q025-444-p0/turbojpeg/2397c73f8feeb8f630fe055da5551c671794afae80528e8612dc62fc0cf61294.png,9.714751244,0.095223963
