quality,chroma_subsampling,decoder,images,bits_per_pixel,ssimulacra2_mean,ssimulacra2_median,ssimulacra2_worst,butteraugli_mean,butteraugli_median,butteraugli_worst,cvvdp_jod_mean,cvvdp_jod_median,cvvdp_jod_worst,dists_mean,dists_median,dists_worst
25,444,jpegli,30,0.574105677,52.031487531,51.517610926,41.817557296,5.244803222,5.148251295,6.856194019,9.604698149,9.622231484,9.345255852,0.124217043,0.118091375,0.232448459
25,444,turbojpeg,30,0.574105677,52.858040768,52.426819428,44.188144276,5.083031702,5.024200440,6.730397224,9.633712387,9.652193070,9.393367767,0.116831994,0.110320390,0.227580011
25,444,apple_imageio,30,0.574105677,52.888346028,52.606305354,44.204464446,5.084146054,5.018131018,6.985537052,9.634390132,9.659138202,9.393644333,0.116790839,0.110309660,0.226952434
30,444,jpegli,30,0.626297136,56.196485441,56.138270343,46.150606103,4.849312448,4.727794408,6.885869980,9.662764263,9.682946682,9.440716743,0.114070690,0.107376456,0.224169493
30,444,turbojpeg,30,0.626297136,57.031565379,57.251853621,48.162309352,4.760379060,4.667307616,6.545644760,9.689411863,9.709433556,9.485517502,0.107175698,0.100176483,0.220021248
30,444,apple_imageio,30,0.626297136,57.029725220,57.256834357,48.160184797,4.760823210,4.669118881,6.440259933,9.689305782,9.710478306,9.484954834,0.107131328,0.100616545,0.219896317
35,444,jpegli,30,0.656323372,58.188080576,58.211985306,48.159259215,4.694798326,4.666016102,6.182008266,9.687887255,9.705687046,9.481345177,0.108692336,0.101359784,0.218317330
35,444,turbojpeg,30,0.656323372,58.875076419,59.011652731,50.044409633,4.582481249,4.565800905,6.295628548,9.712767887,9.730257034,9.523912430,0.102005943,0.094159633,0.213901341
35,444,apple_imageio,30,0.656323372,58.853989122,58.929283013,50.130314349,4.582931407,4.556144237,6.297603607,9.713338089,9.730700016,9.524611473,0.102011202,0.094000637,0.213474691
40,444,jpegli,30,0.685418033,59.893173208,59.945152024,50.020078995,4.484453845,4.512689829,5.936359406,9.712925943,9.729452133,9.528957367,0.103964233,0.095773757,0.215402901
