competitor,chroma_subsampling,quality,criterion,images,jpegli_better,competitor_better,tied_or_mixed
turbojpeg,444,25,ssimulacra2,30,5,25,0
turbojpeg,444,25,butteraugli,30,7,23,0
turbojpeg,444,25,cvvdp_jod,30,0,30,0
turbojpeg,444,25,dists,30,0,30,0
turbojpeg,444,25,all_four,30,0,20,10
turbojpeg,444,30,ssimulacra2,30,4,26,0
turbojpeg,444,30,butteraugli,30,11,19,0
turbojpeg,444,30,cvvdp_jod,30,0,30,0
turbojpeg,444,30,dists,30,0,30,0
turbojpeg,444,30,all_four,30,0,16,14
turbojpeg,444,35,ssimulacra2,30,5,25,0
turbojpeg,444,35,butteraugli,30,9,21,0
turbojpeg,444,35,cvvdp_jod,30,1,29,0
turbojpeg,444,35,dists,30,0,30,0
turbojpeg,444,35,all_four,30,0,16,14
turbojpeg,444,40,ssimulacra2,30,6,24,0
turbojpeg,444,40,butteraugli,30,9,21,0
turbojpeg,444,40,cvvdp_jod,30,1,29,0
turbojpeg,444,40,dists,30,1,29,0
turbojpeg,444,40,all_four,30,0,17,13
turbojpeg,444,45,ssimulacra2,30,1,29,0
turbojpeg,444,45,butteraugli,30,5,25,0
turbojpeg,444,45,cvvdp_jod,30,1,29,0
turbojpeg,444,45,dists,30,1,29,0
turbojpeg,444,45,all_four,30,0,23,7
turbojpeg,444,50,ssimulacra2,30,3,27,0
turbojpeg,444,50,butteraugli,30,6,24,0
turbojpeg,444,50,cvvdp_jod,30,0,30,0
turbojpeg,444,50,dists,30,0,30,0
turbojpeg,444,50,all_four,30,0,22,8
turbojpeg,444,55,ssimulacra2,30,9,21,0
turbojpeg,444,55,butteraugli,30,8,22,0
turbojpeg,444,55,cvvdp_jod,30,0,30,0
turbojpeg,444,55,dists,30,1,29,0
turbojpeg,444,55,all_four,30,0,15,15
turbojpeg,444,60,ssimulacra2,30,5,25,0
turbojpeg,444,60,butteraugli,30,8,22,0
turbojpeg,444,60,cvvdp_jod,30,0,30,0
turbojpeg,444,60,dists,30,0,30,0
turbojpeg,444,60,all_four,30,0,19,11
turbojpeg,444,65,ssimulacra2,30,6,24,0
turbojpeg,444,65,butteraugli,30,8,22,0
turbojpeg,444,65,cvvdp_jod,30,1,29,0
turbojpeg,444,65,dists,30,1,29,0
turbojpeg,444,65,all_four,30,0,16,14
turbojpeg,444,70,ssimulacra2,30,16,14,0
turbojpeg,444,70,butteraugli,30,8,22,0
turbojpeg,444,70,cvvdp_jod,30,3,27,0
turbojpeg,444,70,dists,30,2,28,0
turbojpeg,444,70,all_four,30,0,11,19
turbojpeg,444,75,ssimulacra2,30,18,12,0
turbojpeg,444,75,butteraugli,30,8,22,0
turbojpeg,444,75,cvvdp_jod,30,2,28,0
turbojpeg,444,75,dists,30,2,28,0
turbojpeg,444,75,all_four,30,0,10,20
turbojpeg,444,80,ssimulacra2,30,22,8,0
turbojpeg,444,80,butteraugli,30,8,22,0
turbojpeg,444,80,cvvdp_jod,30,3,27,0
turbojpeg,444,80,dists,30,1,29,0
turbojpeg,444,80,all_four,30,0,7,23
turbojpeg,444,85,ssimulacra2,30,24,6,0
turbojpeg,444,85,butteraugli,30,15,15,0
turbojpeg,444,85,cvvdp_jod,30,7,23,0
turbojpeg,444,85,dists,30,1,29,0
turbojpeg,444,85,all_four,30,0,5,25
turbojpeg,444,90,ssimulacra2,30,24,6,0
turbojpeg,444,90,butteraugli,30,14,16,0
turbojpeg,444,90,cvvdp_jod,30,11,19,0
turbojpeg,444,90,dists,30,2,28,0
turbojpeg,444,90,all_four,30,1,3,26
turbojpeg,444,95,ssimulacra2,30,29,1,0
turbojpeg,444,95,butteraugli,30,25,5,0
turbojpeg,444,95,cvvdp_jod,30,14,16,0
turbojpeg,444,95,dists,30,1,29,0
turbojpeg,444,95,all_four,30,1,0,29
turbojpeg,444,100,ssimulacra2,30,30,0,0
turbojpeg,444,100,butteraugli,30,29,1,0
turbojpeg,444,100,cvvdp_jod,30,23,0,7
turbojpeg,444,100,dists,30,28,2,0
turbojpeg,444,100,all_four,30,22,0,8
turbojpeg,422,25,ssimulacra2,30,5,25,0
turbojpeg,422,25,butteraugli,30,11,19,0
turbojpeg,422,25,cvvdp_jod,30,0,30,0
turbojpeg,422,25,dists,30,0,30,0
turbojpeg,422,25,all_four,30,0,16,14
turbojpeg,422,30,ssimulacra2,30,3,27,0
turbojpeg,422,30,butteraugli,30,14,16,0
turbojpeg,422,30,cvvdp_jod,30,0,30,0
turbojpeg,422,30,dists,30,0,30,0
turbojpeg,422,30,all_four,30,0,13,17
turbojpeg,422,35,ssimulacra2,30,4,26,0
turbojpeg,422,35,butteraugli,30,15,15,0
turbojpeg,422,35,cvvdp_jod,30,1,29,0
turbojpeg,422,35,dists,30,0,30,0
turbojpeg,422,35,all_four,30,0,11,19
turbojpeg,422,40,ssimulacra2,30,5,25,0
turbojpeg,422,40,butteraugli,30,13,17,0
turbojpeg,422,40,cvvdp_jod,30,2,28,0
turbojpeg,422,40,dists,30,1,29,0
turbojpeg,422,40,all_four,30,0,15,15
turbojpeg,422,45,ssimulacra2,30,1,29,0
turbojpeg,422,45,butteraugli,30,13,17,0
turbojpeg,422,45,cvvdp_jod,30,1,29,0
turbojpeg,422,45,dists,30,1,29,0
turbojpeg,422,45,all_four,30,0,16,14
turbojpeg,422,50,ssimulacra2,30,2,28,0
turbojpeg,422,50,butteraugli,30,12,18,0
turbojpeg,422,50,cvvdp_jod,30,0,30,0
turbojpeg,422,50,dists,30,0,30,0
turbojpeg,422,50,all_four,30,0,16,14
turbojpeg,422,55,ssimulacra2,30,9,21,0
turbojpeg,422,55,butteraugli,30,15,15,0
turbojpeg,422,55,cvvdp_jod,30,2,28,0
turbojpeg,422,55,dists,30,2,28,0
turbojpeg,422,55,all_four,30,0,11,19
turbojpeg,422,60,ssimulacra2,30,5,25,0
turbojpeg,422,60,butteraugli,30,18,12,0
turbojpeg,422,60,cvvdp_jod,30,0,30,0
turbojpeg,422,60,dists,30,1,29,0
turbojpeg,422,60,all_four,30,0,11,19
turbojpeg,422,65,ssimulacra2,30,6,24,0
turbojpeg,422,65,butteraugli,30,17,13,0
